cust_id,cust_ct_no_indiv,cust_first_nm,cust_middle_nm,cust_last_nm,full_nm,cust_open_br,cust_age,cust_birth_dt,cust_city,cust_country,cust_occupation,cust_phone_1,last_upd_by,PEP_Flg,resi_Flg,sus_Flg_indiv,cust_type,Representative,Representative ID Number,Representative ID Type,cust_ct_no_corp,cust_LOB,sus_Flag_corp
10001,3.23E+17,San,,Zhang,Zhang San,100034,25,7/1/1992,Shanghai,CN,Student,-16547650900,20001,N,N,N,individual,N/A,N/A,N/A,N/A,N/A,N
10002,N/A,"Alibaba International Trading Co.,Ltd",,,"Alibaba International Trading Co.,Ltd",100034,20,7/1/1997,Shanghai,CN,N/A,-61111046,20001,N,N,N,company,Tommy Xu,1.00E+17,Resident Identity Card,3.10E+14,International Trading,N
10003,N/A,"Bright Dairy & Food Co.,Ltd",,,"Bright Dairy & Food Co.,Ltd",100034,50,7/1/1967,Shanghai,CN,N/A,-62222157,20001,N,N,N,company,Li Si,1.11E+17,Resident Identity Card,3.10E+14,Food Production,N
10004,N/A,"Jingdong International Trading Co.,Ltd",,,"Jingdong International Trading Co.,Ltd",100034,10,7/1/2007,Shanghai,CN,N/A,-63333268,20001,N,N,N,company,Obama Clinton,C1111111,Passport,1.10E+14,International Trading,N
10005,3.23E+18,Wu,,Wang,Wang Wu,100034,30,7/1/1987,Shanghai,CN,Student,-13937543557,20001,N,N,N,individual,N/A,N/A,N/A,N/A,N/A,N
10006,N/A,ABC Company,,,ABC Company,100034,80,7/1/1937,Shanghai,CN,N/A,-3491,20001,N,N,N,company,AAA,E34567890,passport,1.10E+14,International Trading,N
10007,3.10E+17,Lin-kai,,Zhou,Zhou Lin-kai,100034,35,7/1/1982,Shanghai,CN,Merchant,-13937343570,20001,N,N,N,individual,N/A,N/A,N/A,N/A,N/A,N
10008,N/A,Pepsi Company,,,Pepsi Company,100034,100,7/1/1917,Shanghai,CN,N/A,-2262,20001,N,N,N,company,JOHAN WILLEM MAARTEN JANSEN,997766554,passport,5.30E+14,Food Production,N
10009,3.10E+17,Xin Qiang,,Wang,Wang Xin Qiang,100034,40,7/1/1977,Shanghai,CN,Student,-13937343669,20001,N,N,N,individual,N/A,N/A,N/A,N/A,N/A,N
10010,3.10E+17,Liang,,Wu,Wu Liang,100034,45,7/1/1972,Shanghai,CN,Lawyer,-15863453669,20001,Y,N,N,individual,N/A,N/A,N/A,N/A,N/A,N
